item_code,item_description,MOQ,brand
AB K53E,AB K53E,,abb
AB K80E,AB K80E,,abb
AB KB16,AB KB16,,abb
AB KB30,AB KB30,,abb
AB KB75,AB KB75,,abb
AB KBC30,AB KBC30,,abb
AB KC31E,AB KC31E,,abb
AB KC40E,AB KC40E,,abb
AB KC6-22Z,AB KC6-22Z,,abb
AB KC6 -31Z,AB KC6 -31Z,,abb
AB KEYLOCK-CON/ISO/TST E1-E6(58277),AB KEYLOCK-CON/ISO/TST E1-E6(58277),,abb
AB KEYLOCK E1-E6 (58270),AB KEYLOCK E1-E6 (58270),,abb
AB KEYLOCK TK (60659),AB KEYLOCK TK (60659),,abb
AB KL12,AB KL12,,abb
AB KL16,AB KL16,,abb
AB KL25,AB KL25,,abb
AB KL50,AB KL50,,abb
AB KL63,AB KL63,,abb
AB KL75,AB KL75,,abb
AB KZ300,AB KZ300,,abb
AB KZ370,AB KZ370,,abb
AB KZ80,AB KZ80,,abb
AB KZ 800 KIT,AB KZ 800 KIT,,abb
AB LOCK IN TEST ISO/RACKED E1-E6-38357,AB LOCK IN TEST ISO/RACKED E1-E6-38357,,abb
AB LTC T5 TP  TERM.COVER LOW(54968),AB LTC T5 TP  TERM.COVER LOW(54968),,abb
AB LTC XT1 TERM.COVER LOW(66655),AB LTC XT1 TERM.COVER LOW(66655),,abb
AB LTC XT2 TERM.COVER LOW(66657),AB LTC XT2 TERM.COVER LOW(66657),,abb
AB LTC XT4 TP TERMINAL COVER LOW2PC (66662),AB LTC XT4 TP TERMINAL COVER LOW2PC (66662),,abb
AB M1A 1-1  AMMETER 1PH (CI 1.0),AB M1A 1-1  AMMETER 1PH (CI 1.0),,abb
AB M1A 3-05 AMMETER 3 PH,AB M1A 3-05 AMMETER 3 PH,,abb
AB M1A 3-1  AMMETER 3PH (CI 1.0),AB M1A 3-1  AMMETER 3PH (CI 1.0),,abb
AB M1M 12 MODBUS METER,AB M1M 12 MODBUS METER,,abb
AB M1V 1-1  VOLT METER 1PH,AB M1V 1-1  VOLT METER 1PH,,abb
AB M1V-305 VOLT METER 3PH,AB M1V-305 VOLT METER 3PH,,abb
AB M1V 3-1  VOLT METER 3PH,AB M1V 3-1  VOLT METER 3PH,,abb
AB M2SS2-11C SELECTOR SWITCH(611201R1108),AB M2SS2-11C SELECTOR SWITCH(611201R1108),,abb
